release_year,rank_in_year,imdb_rating,mpaa_rating,film_title,film_budget,length_in_min,domestic_distributor,worldwide_gross,domestic_gross,genre_1,genre_2,genre_3,ROI,ROI_ratio,decade,decade_label,budget_category
2015,10,6.5,PG-13,The Hunger Games: Mockingjay - Part 2,160000000.0,137,Lionsgate,658344137.0,281723902.0,Action,Adventure,Sci-Fi,4.11465085625,4.11465085625,2010,2010s,Alto (100-200M)
2014,1,5.6,PG-13,Transformers: Age of Extinction,210000000.0,165,Paramount Pictures,1104054072.0,245439076.0,Action,Adventure,Sci-Fi,5.257400342857143,5.257400342857143,2010,2010s,Muy Alto (>200M)
2014,2,7.4,PG-13,The Hobbit: The Battle of the Five Armies,250000000.0,144,Warner Bros.,956019788.0,255119788.0,Adventure,Fantasy,None,3.824079152,3.824079152,2010,2010s,Muy Alto (>200M)
2014,3,8.0,PG-13,Guardians of the Galaxy,170000000.0,121,Walt Disney ,772776600.0,333176600.0,Action,Adventure,Comedy,4.545744705882353,4.545744705882353,2010,2010s,Alto (100-200M)
2014,4,7.0,PG,Maleficent,180000000.0,97,Walt Disney ,758410378.0,241410378.0,Action,Adventure,Fantasy,4.2133909888888885,4.2133909888888885,2010,2010s,Alto (100-200M)
2014,5,6.6,PG-13,The Hunger Games: Mockingjay - Part 1,125000000.0,123,Lionsgate,755356711.0,337135885.0,Action,Adventure,Sci-Fi,6.042853688,6.042853688,2010,2010s,Alto (100-200M)
2014,6,8.0,PG-13,X-Men: Days of Future Past,200000000.0,132,Twentieth Century Fox,746045700.0,233921534.0,Action,Adventure,Sci-Fi,3.7302285,3.7302285,2010,2010s,Alto (100-200M)
2014,7,7.7,PG-13,Captain America: The Winter Soldier,170000000.0,136,Walt Disney ,714421503.0,259766572.0,Action,Adventure,Sci-Fi,4.202479429411765,4.202479429411765,2010,2010s,Alto (100-200M)
2014,8,7.6,PG-13,Dawn of the Planet of the Apes,170000000.0,130,Twentieth Century Fox,710644566.0,208545589.0,Action,Adventure,Drama,4.180262152941176,4.180262152941176,2010,2010s,Alto (100-200M)
2014,9,6.6,PG-13,The Amazing Spider-Man 2,200000000.0,142,Sony Pictures,708982323.0,202853933.0,Action,Adventure,Sci-Fi,3.544911615,3.544911615,2010,2010s,Alto (100-200M)
2014,10,8.6,PG-13,Interstellar,165000000.0,169,Paramount Pictures,677463813.0,188020017.0,Adventure,Drama,Sci-Fi,4.105841290909091,4.105841290909091,2010,2010s,Alto (100-200M)
2013,1,7.5,PG,Frozen ,150000000.0,102,Walt Disney ,1280802282.0,400738009.0,Animation,Adventure,Comedy,8.53868188,8.53868188,2010,2010s,Alto (100-200M)
